"ESTU_TIPODOCUMENTO";"ESTU_NACIONALIDAD";"ESTU_GENERO";"ESTU_FECHANACIMIENTO";"PERIODO";"ESTU_CONSECUTIVO";"ESTU_ESTUDIANTE";"ESTU_PAIS_RESIDE";"ESTU_TIENEETNIA";"ESTU_DEPTO_RESIDE";"ESTU_COD_RESIDE_DEPTO";"ESTU_MCPIO_RESIDE";"ESTU_COD_RESIDE_MCPIO";"FAMI_ESTRATOVIVIENDA";"FAMI_PERSONASHOGAR";"FAMI_CUARTOSHOGAR";"FAMI_EDUCACIONPADRE";"FAMI_EDUCACIONMADRE";"FAMI_TRABAJOLABORPADRE";"FAMI_TRABAJOLABORMADRE";"FAMI_TIENEINTERNET";"FAMI_TIENESERVICIOTV";"FAMI_TIENECOMPUTADOR";"FAMI_TIENELAVADORA";"FAMI_TIENEHORNOMICROOGAS";"FAMI_TIENEAUTOMOVIL";"FAMI_TIENEMOTOCICLETA";"FAMI_TIENECONSOLAVIDEOJUEGOS";"FAMI_NUMLIBROS";"FAMI_COMELECHEDERIVADOS";"FAMI_COMECARNEPESCADOHUEVO";"FAMI_COMECEREALFRUTOSLEGUMBRE";"FAMI_SITUACIONECONOMICA";"ESTU_DEDICACIONLECTURADIARIA";"ESTU_DEDICACIONINTERNET";"ESTU_HORASSEMANATRABAJA";"ESTU_TIPOREMUNERACION";"COLE_CODIGO_ICFES";"COLE_COD_DANE_ESTABLECIMIENTO";"COLE_NOMBRE_ESTABLECIMIENTO";"COLE_GENERO";"COLE_NATURALEZA";"COLE_CALENDARIO";"COLE_BILINGUE";"COLE_CARACTER";"COLE_COD_DANE_SEDE";"COLE_NOMBRE_SEDE";"COLE_SEDE_PRINCIPAL";"COLE_AREA_UBICACION";"COLE_JORNADA";"COLE_COD_MCPIO_UBICACION";"COLE_MCPIO_UBICACION";"COLE_COD_DEPTO_UBICACION";"COLE_DEPTO_UBICACION";"ESTU_PRIVADO_LIBERTAD";"ESTU_COD_MCPIO_PRESENTACION";"ESTU_MCPIO_PRESENTACION";"ESTU_DEPTO_PRESENTACION";"ESTU_COD_DEPTO_PRESENTACION";"PUNT_LECTURA_CRITICA";"PERCENTIL_LECTURA_CRITICA";"DESEMP_LECTURA_CRITICA";"PUNT_MATEMATICAS";"PERCENTIL_MATEMATICAS";"DESEMP_MATEMATICAS";"PUNT_C_NATURALES";"PERCENTIL_C_NATURALES";"DESEMP_C_NATURALES";"PUNT_SOCIALES_CIUDADANAS";"PERCENTIL_SOCIALES_CIUDADANAS";"DESEMP_SOCIALES_CIUDADANAS";"PUNT_INGLES";"PERCENTIL_INGLES";"DESEMP_INGLES";"PUNT_GLOBAL";"PERCENTIL_GLOBAL";"ESTU_INSE_INDIVIDUAL";"ESTU_NSE_INDIVIDUAL";"ESTU_NSE_ESTABLECIMIENTO";"ESTU_ESTADOINVESTIGACION";"ESTU_GENERACION-E";"PERCENTIL_ESPECIAL_GLOBAL";"ESTU_ETNIA"
"TI";"COLOMBIA";"F";"24/10/2000";20194;"SB11201940041343";"ESTUDIANTE";"COLOMBIA";"Si";"GUAINIA";94;"BARRANCO MINAS";94343;"Estrato 3";"3 a 4";"Cuatro";"Primaria completa";"Primaria incompleta";"Trabaja en el hogar, no trabaja o estudia";"Trabaja en el hogar, no trabaja o estudia";"No";"No";"No";"No";"Si";"No";"No";"No";"0 A 10 LIBROS";"3 a 5 veces por semana";"1 o 2 veces por semana";"3 a 5 veces por semana";"Igual";"Entre 1 y 2 horas";"No Navega Internet";"Menos de 10 horas";"No";78360;294001000000;"I.E. MANUEL QUINTIN LAME";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO/ACADÉMICO";294001000000;"I.E. MANUEL QUINTIN LAME - SEDE PRINCIPAL";"S";"RURAL";"MAÑANA";94343;"BARRANCO MINAS";94;"GUAINIA";"N";94343;"BARRANCO MINAS";"GUAINIA";94;38;9;2;30;4;1;36;13;1;30;8;1;32;9;"A-";167;5;39.06269695;1;1;"PUBLICAR";"NO";;"Otro grupo étnico minoritario"
"TI";"COLOMBIA";"F";"16/05/2002";20194;"SB11201940047987";"ESTUDIANTE";"COLOMBIA";"No";"BOGOTÁ";11;"BOGOTÁ D.C.";11001;"Estrato 2";"5 a 6";"Tres";"Primaria incompleta";"Primaria incompleta";"Pensionado";"Trabaja en el hogar, no trabaja o estudia";"Si";"Si";"Si";"Si";"Si";"No";"No";"No";"26 A 100 LIBROS";"Todos o casi todos los días";"Todos o casi todos los días";"1 o 2 veces por semana";"Mejor";"30 minutos o menos";"Entre 1 y 3 horas";"0";"No";98632;111001000000;"COLEGIO HERNANDO DURAN DUSSAN (IED)";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";111001000000;"CENT EDUC DIST HERNANDO DURAN DUSAN";"S";"URBANO";"COMPLETA";11001;"BOGOTÁ D.C.";11;"BOGOTÁ";"N";11001;"BOGOTÁ D.C.";"BOGOTÁ";11;48;34;2;45;33;2;38;19;1;30;8;1;46;44;"A-";203;22;54.38495722;3;3;"PUBLICAR";"NO";;
"CC";"COLOMBIA";"F";"27/07/2000";20194;"SB11201940511495";"ESTUDIANTE";"COLOMBIA";"No";"MAGDALENA";47;"SANTA MARTA";47001;"Estrato 1";"5 a 6";"Dos";"Primaria incompleta";"Secundaria (Bachillerato) completa";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"No";"Si";"No";"Si";"No";"No";"No";"No";"0 A 10 LIBROS";"Todos o casi todos los días";"1 o 2 veces por semana";"Nunca o rara vez comemos eso";"Igual";"No leo por entretenimiento";"Entre 1 y 3 horas";"0";"No";77339;247001000000;"IED JESUS ESPELETA FAJARDO";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO/ACADÉMICO";247001000000;"SEDE 01 JESUS ESPELETA FAJARDO";"S";"RURAL";"MAÑANA";47001;"SANTA MARTA";47;"MAGDALENA";"N";47001;"SANTA MARTA";"MAGDALENA";47;48;36;2;46;36;2;39;20;1;40;34;1;36;17;"A-";213;29;40.73739289;1;2;"PUBLICAR";"GENERACION E - GRATUIDAD";;
"TI";"COLOMBIA";"M";"18/03/2003";20194;"SB11201940382133";"ESTUDIANTE";"COLOMBIA";"No";"ANTIOQUIA";5;"MEDELLÍN";5001;"Estrato 2";"3 a 4";"Dos";"Técnica o tecnológica completa";"Educación profesional completa";"Trabaja en el hogar, no trabaja o estudia";"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)";"Si";"Si";"Si";"Si";"No";"Si";"No";"No";"11 A 25 LIBROS";"Todos o casi todos los días";"Todos o casi todos los días";"1 o 2 veces por semana";"Igual";"No leo por entretenimiento";"Entre 30 y 60 minutos";"0";"Si, en efectivo";200972;105001000000;"I.E. MARCO FIDEL SUAREZ";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO/ACADÉMICO";105001000000;"INST EDUC MARCO FIDEL SUAREZ";"S";"URBANO";"UNICA";5001;"MEDELLÍN";5;"ANTIOQUIA";"N";5042;"SANTA FÉ DE ANTIOQUIA";"ANTIOQUIA";5;56;64;3;70;95;3;61;87;3;49;60;2;38;21;"A-";287;78;59.51484459;3;3;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"M";"27/10/2001";20194;"SB11201940069139";"ESTUDIANTE";"COLOMBIA";"No";"BOLIVAR";13;"TURBACO";13836;"Estrato 2";"3 a 4";"Tres";"Técnica o tecnológica incompleta";"Educación profesional incompleta";"Es operario de máquinas o conduce vehículos (taxita, chofer)";"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)";"No";"Si";"Si";"Si";"No";"No";"Si";"No";"26 A 100 LIBROS";"1 o 2 veces por semana";"3 a 5 veces por semana";"1 o 2 veces por semana";"Igual";"Más de 2 horas";"Más de 3 horas";"Entre 11 y 20 horas";"Si, en efectivo";4713;113836000000;"INSTITUCION EDUCATIVA  DOCENTE DE TURBACO";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";113836000000;"INSTITUCION EDUCATIVA  DOCENTE DE TURBACO";"S";"URBANO";"MAÑANA";13836;"TURBACO";13;"BOLIVAR";"N";13836;"TURBACO";"BOLIVAR";13;64;86;3;64;87;3;63;91;3;50;62;2;54;69;"A1";299;83;50.63442282;2;3;"PUBLICAR";"GENERACION E - GRATUIDAD";;
"CC";"COLOMBIA";"M";"22/09/2000";20194;"SB11201940520434";"ESTUDIANTE";"COLOMBIA";"No";"ANTIOQUIA";5;"MEDELLÍN";5001;"Estrato 1";"7 a 8";"Cinco";"Primaria incompleta";"Primaria completa";"Trabaja por cuenta propia (por ejemplo plomero, electricista)";"Trabaja por cuenta propia (por ejemplo plomero, electricista)";"Si";"No";"Si";"Si";"No";"No";"Si";"No";"11 A 25 LIBROS";"Todos o casi todos los días";"3 a 5 veces por semana";"3 a 5 veces por semana";"Mejor";"Entre 1 y 2 horas";"Entre 30 y 60 minutos";"Menos de 10 horas";"Si, en efectivo";140889;105001000000;"INST EDUC FRANCISCO MIRANDA";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";105001000000;"INST EDUC FRANCISCO MIRANDA";"S";"URBANO";"NOCHE";5001;"MEDELLÍN";5;"ANTIOQUIA";"N";5001;"MEDELLÍN";"ANTIOQUIA";5;42;19;2;37;15;2;32;6;1;41;39;2;52;61;"A1";195;18;48.33230584;2;2;"PUBLICAR";"GENERACION E - GRATUIDAD";;
"TI";"COLOMBIA";"F";"26/06/2002";20194;"SB11201940554619";"ESTUDIANTE";"COLOMBIA";"No";"BOGOTÁ";11;"BOGOTÁ D.C.";11001;"Estrato 3";"5 a 6";"Cinco";"Primaria incompleta";"Secundaria (Bachillerato) incompleta";"Trabaja por cuenta propia (por ejemplo plomero, electricista)";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Si";"Si";"Si";"Si";"No";"No";"Si";"Si";"MÁS DE 100 LIBROS";"Todos o casi todos los días";"Todos o casi todos los días";"Todos o casi todos los días";"Igual";"Entre 30 y 60 minutos";"Más de 3 horas";"0";"No";724567;111001000000;"COLEGIO TORQUIGUA (IED)";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";111001000000;"COLEGIO TORQUIGUA (IED)";"S";"URBANO";"UNICA";11001;"BOGOTÁ D.C.";11;"BOGOTÁ";"N";11001;"BOGOTÁ D.C.";"BOGOTÁ";11;61;79;3;60;78;3;55;74;2;60;86;3;54;70;"A1";293;81;54.58706409;3;3;"PUBLICAR";"NO";;
"CC";"COLOMBIA";"M";"26/06/2001";20194;"SB11201940256768";"ESTUDIANTE";"COLOMBIA";"No";"BOGOTÁ";11;"BOGOTÁ D.C.";11001;"Estrato 4";"3 a 4";"Dos";"No sabe";"Educación profesional completa";"No sabe";"Es vendedor o trabaja en atención al público";"Si";"Si";"Si";"Si";"Si";"No";"No";"Si";"11 A 25 LIBROS";"3 a 5 veces por semana";"Todos o casi todos los días";"1 o 2 veces por semana";"Igual";"30 minutos o menos";"Entre 1 y 3 horas";"Entre 11 y 20 horas";"No";664953;111001000000;"COLEGIO NACIONAL NICOLAS ESGUERRA (IED)";"MASCULINO";"OFICIAL";"A";"N";"ACADÉMICO";111001000000;"COL NAL NICOLAS ESGUERRA";"S";"URBANO";"UNICA";11001;"BOGOTÁ D.C.";11;"BOGOTÁ";"N";11001;"BOGOTÁ D.C.";"BOGOTÁ";11;44;22;2;45;33;2;49;54;2;40;34;1;40;28;"A-";221;34;60.27641722;3;3;"PUBLICAR";"NO";;
"CC";"COLOMBIA";"M";"8/12/1999";20194;"SB11201940185502";"ESTUDIANTE";"COLOMBIA";"No";"CUNDINAMARCA";25;"APULO";25599;"Estrato 1";"3 a 4";"Dos";"Primaria incompleta";"Primaria completa";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"No";"No";"No";"No";"No";"No";"Si";"No";"0 A 10 LIBROS";"1 o 2 veces por semana";"1 o 2 veces por semana";"1 o 2 veces por semana";"Igual";"30 minutos o menos";"Entre 1 y 3 horas";"Menos de 10 horas";"Si, en efectivo";29363;125599000000;"INSTITUTO EDUCATIVO DEPARTAMENTAL ANTONIO NARINO";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";125599000000;"INSTITUTO EDUCATIVO DEPARTAMENTAL ANTONIO NARIÑO";"S";"URBANO";"MAÑANA";25599;"APULO";25;"CUNDINAMARCA";"N";25386;"LA MESA";"CUNDINAMARCA";25;56;63;3;55;64;3;52;65;2;36;24;1;39;24;"A-";245;51;33.21103654;1;2;"PUBLICAR";"NO";;
"CC";"COLOMBIA";"M";"22/11/2000";20194;"SB11201940195340";"ESTUDIANTE";"COLOMBIA";"No";"BOYACA";15;"TUNJA";15001;"Estrato 2";"5 a 6";"Cinco";"Secundaria (Bachillerato) completa";"Primaria incompleta";"Trabaja en el hogar, no trabaja o estudia";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Si";"Si";"Si";"Si";"No";"No";"No";"No";;"Todos o casi todos los días";"1 o 2 veces por semana";"Todos o casi todos los días";"Igual";"30 minutos o menos";"30 minutos o menos";"0";"No";4804;115001000000;"ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO/ACADÉMICO";115001000000;"ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA CENTRAL";"S";"URBANO";"MAÑANA";15001;"TUNJA";15;"BOYACA";"N";15001;"TUNJA";"BOYACA";15;61;79;3;70;95;3;57;80;3;64;92;3;62;87;"A2";315;90;49.72249317;2;3;"PUBLICAR";"NO";;
