"ESTU_TIPODOCUMENTO";"ESTU_NACIONALIDAD";"ESTU_GENERO";"ESTU_FECHANACIMIENTO";"PERIODO";"ESTU_CONSECUTIVO";"ESTU_ESTUDIANTE";"ESTU_PAIS_RESIDE";"ESTU_TIENEETNIA";"ESTU_DEPTO_RESIDE";"ESTU_COD_RESIDE_DEPTO";"ESTU_MCPIO_RESIDE";"ESTU_COD_RESIDE_MCPIO";"FAMI_ESTRATOVIVIENDA";"FAMI_PERSONASHOGAR";"FAMI_CUARTOSHOGAR";"FAMI_EDUCACIONPADRE";"FAMI_EDUCACIONMADRE";"FAMI_TRABAJOLABORPADRE";"FAMI_TRABAJOLABORMADRE";"FAMI_TIENEINTERNET";"FAMI_TIENESERVICIOTV";"FAMI_TIENECOMPUTADOR";"FAMI_TIENELAVADORA";"FAMI_TIENEHORNOMICROOGAS";"FAMI_TIENEAUTOMOVIL";"FAMI_TIENEMOTOCICLETA";"FAMI_TIENECONSOLAVIDEOJUEGOS";"FAMI_NUMLIBROS";"FAMI_COMELECHEDERIVADOS";"FAMI_COMECARNEPESCADOHUEVO";"FAMI_COMECEREALFRUTOSLEGUMBRE";"FAMI_SITUACIONECONOMICA";"ESTU_DEDICACIONLECTURADIARIA";"ESTU_DEDICACIONINTERNET";"ESTU_HORASSEMANATRABAJA";"ESTU_TIPOREMUNERACION";"COLE_CODIGO_ICFES";"COLE_COD_DANE_ESTABLECIMIENTO";"COLE_NOMBRE_ESTABLECIMIENTO";"COLE_GENERO";"COLE_NATURALEZA";"COLE_CALENDARIO";"COLE_BILINGUE";"COLE_CARACTER";"COLE_COD_DANE_SEDE";"COLE_NOMBRE_SEDE";"COLE_SEDE_PRINCIPAL";"COLE_AREA_UBICACION";"COLE_JORNADA";"COLE_COD_MCPIO_UBICACION";"COLE_MCPIO_UBICACION";"COLE_COD_DEPTO_UBICACION";"COLE_DEPTO_UBICACION";"ESTU_PRIVADO_LIBERTAD";"ESTU_COD_MCPIO_PRESENTACION";"ESTU_MCPIO_PRESENTACION";"ESTU_DEPTO_PRESENTACION";"ESTU_COD_DEPTO_PRESENTACION";"PUNT_LECTURA_CRITICA";"PERCENTIL_LECTURA_CRITICA";"DESEMP_LECTURA_CRITICA";"PUNT_MATEMATICAS";"PERCENTIL_MATEMATICAS";"DESEMP_MATEMATICAS";"PUNT_C_NATURALES";"PERCENTIL_C_NATURALES";"DESEMP_C_NATURALES";"PUNT_SOCIALES_CIUDADANAS";"PERCENTIL_SOCIALES_CIUDADANAS";"DESEMP_SOCIALES_CIUDADANAS";"PUNT_INGLES";"PERCENTIL_INGLES";"DESEMP_INGLES";"PUNT_GLOBAL";"PERCENTIL_GLOBAL";"ESTU_INSE_INDIVIDUAL";"ESTU_NSE_INDIVIDUAL";"ESTU_NSE_ESTABLECIMIENTO";"ESTU_ESTADOINVESTIGACION";"ESTU_GENERACION-E";"PERCENTIL_ESPECIAL_GLOBAL";"ESTU_ETNIA"
"CC";"COLOMBIA";"M";"5/02/2000";20191;"SB11201910035412";"ESTUDIANTE";"COLOMBIA";"No";"NARIÑO";52;"PASTO";52001;"Estrato 3";"3 a 4";"Tres";"Técnica o tecnológica incompleta";"Secundaria (Bachillerato) incompleta";"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc";"Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial";"Si";"Si";"No";"Si";"No";"No";"No";"Si";"11 A 25 LIBROS";"Todos o casi todos los días";"Nunca o rara vez comemos eso";"1 o 2 veces por semana";"Igual";"30 minutos o menos";"Entre 30 y 60 minutos";"Menos de 10 horas";"Si, en especie";104851;352001000000;"COL INSUCA";"MIXTO";"NO OFICIAL";"A";"N";"ACADÉMICO";352001000000;"COL INSUCA";"S";"URBANO";"MAÑANA";52001;"PASTO";52;"NARIÑO";"N";52001;"PASTO";"NARIÑO";52;65;67;3;72;86;4;67;80;3;60;61;3;34;9;"A-";318;65;52.51113385;3;3;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"F";"28/11/2000";20191;"SB11201910010080";"ESTUDIANTE";"COLOMBIA";"No";"VALLE";76;"GUADALAJARA DE BUGA";76111;"Estrato 3";;;"Primaria completa";"Primaria completa";;;"Si";"Si";;;;;;;"0 A 10 LIBROS";"Nunca o rara vez comemos eso";"1 o 2 veces por semana";"3 a 5 veces por semana";;"30 minutos o menos";"Entre 30 y 60 minutos";;;111443;376111000000;"C. E. FORMAL DISCENTER S";"MIXTO";"NO OFICIAL";"B";"N";"ACADÉMICO";376111000000;"C. E. FORMAL DISCENTER S - SEDE PRINCIPAL";"S";"URBANO";"NOCHE";76111;"GUADALAJARA DE BUGA";76;"VALLE";"N";76111;"GUADALAJARA DE BUGA";"VALLE";76;50;28;2;29;4;1;43;25;2;42;24;2;41;18;"A-";205;17;;;3;"PUBLICAR";"NO";;
